drs_uri,name,gender,library_id,reference_genome,sample_id,case_id,investigation,experimental_strategy,sample_type,platform
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a810,LP6005592-DNA_H01.srt.aln.bam,Female,LP6005592-DNA_H01,hs37d5,YemeniteJew4695,S_Yemenite_Jew-1,SGDP-Yemenite_Jew,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a811,LP6005592-DNA_C02.srt.aln.bam,Male,LP6005592-DNA_C02,hs37d5,NA18940,S_Japanese-3,SGDP-Japanese,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a812,LP6005443-DNA_E10.annotated.nh.vcf.gz,Male,LP6005443-DNA_E10,hs37d5,NorthOssetia12,S_North_Ossetian-1,SGDP-North_Ossetian,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a813,LP6005441-DNA_A11.srt.aln.bam.bai,Male,LP6005441-DNA_A11,hs37d5,HGDP01032,S_Ju_hoan_North-3,SGDP-Ju_hoan_North,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a814,LP6005443-DNA_F11.annotated.nh.vcf.gz,Female,LP6005443-DNA_F11,hs37d5,mixe0042,S_Mixe-3,SGDP-Mixe,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a815,LP6005592-DNA_C01.srt.aln.bam,Female,LP6005592-DNA_C01,hs37d5,Utsa21,S_Saami-1,SGDP-Saami,WGS,Genomic_from_saliva,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a816,LP6005592-DNA_C05.srt.aln.bam,Female,LP6005592-DNA_C05,hs37d5,SA0722,S_Khomani_San-2,SGDP-Khomani_San,WGS,Genomic_from_saliva,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a817,LP6005443-DNA_F11.srt.aln.bam.bai,Female,LP6005443-DNA_F11,hs37d5,mixe0042,S_Mixe-3,SGDP-Mixe,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a818,LP6005442-DNA_E10.annotated.nh.vcf.gz.tbi,Male,LP6005442-DNA_E10,hs37d5,HG00126,S_English-1,SGDP-English,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a819,LP6005677-DNA_D01.annotated.nh.vcf.gz,Male,LP6005677-DNA_D01,hs37d5,zapo0099,S_Zapotec-2,SGDP-Zapotec,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a81a,LP6005441-DNA_D04.annotated.nh.vcf.gz,Female,LP6005441-DNA_D04,hs37d5,HGDP01315,S_Dai-3,SGDP-Dai,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a81b,LP6005443-DNA_F08.srt.aln.bam.bai,Male,LP6005443-DNA_F08,hs37d5,HGDP00551,S_Papuan-9,SGDP-Papuan,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a81c,LP6005442-DNA_H12.annotated.nh.vcf.gz.tbi,Female,LP6005442-DNA_H12,hs37d5,Ul31,S_Ulchi-1,SGDP-Ulchi,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a81d,LP6005441-DNA_G12.srt.aln.bam.bai,Male,LP6005441-DNA_G12,hs37d5,HGDP01163,S_Tuscan-2,SGDP-Tuscan,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a81e,LP6005619-DNA_B01.srt.aln.bam.bai,Male,LP6005619-DNA_B01,hs37d5,SAH31,S_Saharawi-1,SGDP-Saharawi,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a81f,LP6005519-DNA_G04.annotated.nh.vcf.gz.tbi,Male,LP6005519-DNA_G04,hs37d5,M4,S_Madiga-1,SGDP-Madiga,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a820,LP6005443-DNA_G03.annotated.nh.vcf.gz.tbi,Female,LP6005443-DNA_G03,hs37d5,Nesk_25,S_Eskimo_Naukan-2,SGDP-Eskimo_Naukan,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a821,LP6005443-DNA_B04.srt.aln.bam.bai,Female,LP6005443-DNA_B04,hs37d5,Nlk3,S_Even-3,SGDP-Even,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a822,LP6005519-DNA_B06.annotated.nh.vcf.gz,Male,LP6005519-DNA_B06,hs37d5,Bu16,S_Burmese-1,SGDP-Burmese,WGS,Genomic_from_saliva,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a823,LP6005443-DNA_B07.srt.aln.bam.bai,Female,LP6005443-DNA_B07,hs37d5,CHI-034,S_Thai-2,SGDP-Thai,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a824,LP6005442-DNA_F10.srt.aln.bam.bai,Female,LP6005442-DNA_F10,hs37d5,HG00128,S_English-2,SGDP-English,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a825,LP6005443-DNA_B01.srt.aln.bam.bai,Male,LP6005443-DNA_B01,hs37d5,HGDP01312,S_Dai-2,SGDP-Dai,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a826,LP6005443-DNA_B10.annotated.nh.vcf.gz.tbi,Male,LP6005443-DNA_B10,hs37d5,iran11,S_Iranian-2,SGDP-Iranian,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a827,LP6005519-DNA_B05.srt.aln.bam.bai,Male,LP6005519-DNA_B05,hs37d5,R6,S_Relli-2,SGDP-Relli,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a828,LP6005677-DNA_C03.annotated.nh.vcf.gz.tbi,Male,LP6005677-DNA_C03,hs37d5,Kayseri23827,S_Turkish-1,SGDP-Turkish,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a829,LP6005443-DNA_G11.annotated.nh.vcf.gz.tbi,Male,LP6005443-DNA_G11,hs37d5,mixa0099,S_Mixtec-1,SGDP-Mixtec,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a82a,LP6005441-DNA_G07.annotated.nh.vcf.gz,Female,LP6005441-DNA_G07,hs37d5,HGDP00855,S_Mayan-1,SGDP-Mayan,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a82b,LP6005442-DNA_F02.annotated.nh.vcf.gz.tbi,Male,LP6005442-DNA_F02,hs37d5,altai363p,S_Altaian-1,SGDP-Altaian,WGS,Genomic_from_blood,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a82c,LP6005443-DNA_D06.annotated.nh.vcf.gz,Male,LP6005443-DNA_D06,hs37d5,ND19394,S_Korean-1,SGDP-Korean,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a82d,LP6005441-DNA_G02.srt.aln.bam.bai,Male,LP6005441-DNA_G02,hs37d5,HGDP00457,S_Biaka-1,SGDP-Biaka,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a82e,LP6005441-DNA_G09.srt.aln.bam.bai,Male,LP6005441-DNA_G09,hs37d5,HGDP00725,S_Palestinian-2,SGDP-Palestinian,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a82f,LP6005442-DNA_F11.annotated.nh.vcf.gz.tbi,Female,LP6005442-DNA_F11,hs37d5,NA19023,S_Luhya-1,SGDP-Luhya,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a830,LP6005441-DNA_G05.srt.aln.bam.bai,Male,LP6005441-DNA_G05,hs37d5,HGDP01240,S_Hezhen-1,SGDP-Hezhen,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a831,LP6005441-DNA_A12.annotated.nh.vcf.gz.tbi,Female,LP6005441-DNA_A12,hs37d5,HGDP00846,S_Surui-1,SGDP-Surui,WGS,Genomic_from_cell_lines,Illumina
drs://cgc-ga4gh-api.sbgenomics.com/58b57869e4b0ec383d92a832,LP6005441-DNA_D02.annotated.nh.vcf.gz,Female,LP6005441-DNA_D02,hs37d5,HGDP01365,S_Basque-2,SGDP-Basque,WGS,Genomic_from_cell_lines,Illumina
