IID	sgdp_id	population	region	country	latitude	longitude	embargo
LP6005519-DNA_B05	S_Relli-2	Relli	SouthAsia	India	17.7	83.3	FullyPublic
LP6005592-DNA_C01	S_Saami-1	Saami	WestEurasia	Finland	69.9	27.0	FullyPublic
LP6005592-DNA_D01	S_Saami-2	Saami	WestEurasia	Finland	69.9	27.0	FullyPublic
LP6005619-DNA_B01	S_Saharawi-1	Saharawi	Africa	Western Sahara (Morocco)	27.3	-8.9	FullyPublic
LP6005619-DNA_C01	S_Saharawi-2	Saharawi	Africa	Western Sahara (Morocco)	27.3	-8.9	FullyPublic
LP6005441-DNA_C11	S_Sardinian-1	Sardinian	WestEurasia	Italy(Sardinia)	40.0	9.0	FullyPublic
LP6005441-DNA_D11	S_Sardinian-2	Sardinian	WestEurasia	Italy(Sardinia)	40.0	9.0	FullyPublic
LP6005443-DNA_G01	S_She-1	She	EastAsia	China	27.0	119.0	FullyPublic
LP6005443-DNA_F01	S_She-2	She	EastAsia	China	27.0	119.0	FullyPublic
LP6005441-DNA_G11	S_Sindhi-1	Sindhi	SouthAsia	Pakistan	25.5	69.0	FullyPublic
LP6005441-DNA_H11	S_Sindhi-2	Sindhi	SouthAsia	Pakistan	25.5	69.0	FullyPublic
LP6005442-DNA_A11	S_Spanish-1	Spanish	WestEurasia	Spain	39.9	-4.0	FullyPublic
LP6005442-DNA_B11	S_Spanish-2	Spanish	WestEurasia	Spain	39.9	-4.0	FullyPublic
LP6005441-DNA_A12	S_Surui-1	Surui	America	Brazil	-11.0	-62.0	FullyPublic
LP6005441-DNA_B12	S_Surui-2	Surui	America	Brazil	-11.0	-62.0	FullyPublic
LP6005519-DNA_C03	S_Tajik-1	Tajik	WestEurasia	Tajikistan	37.508	71.568	FullyPublic
LP6005519-DNA_D03	S_Tajik-2	Tajik	WestEurasia	Tajikistan	37.508	71.568	FullyPublic
LP6005443-DNA_A07	S_Thai-1	Thai	EastAsia	Thailand	13.8	100.5	FullyPublic
LP6005443-DNA_B07	S_Thai-2	Thai	EastAsia	Thailand	13.8	100.5	FullyPublic
LP6005443-DNA_E05	S_Tlingit-1	Tlingit	CentralAsiaSiberia	Russia	53	158.65	FullyPublic
LP6005443-DNA_D05	S_Tlingit-2	Tlingit	CentralAsiaSiberia	Russia	55.18	166	FullyPublic
LP6005443-DNA_H01	S_Tu-1	Tu	EastAsia	China	36.0	101.0	FullyPublic
LP6005441-DNA_D12	S_Tu-2	Tu	EastAsia	China	36.0	101.0	FullyPublic
LP6005442-DNA_F12	S_Tubalar-1	Tubalar	CentralAsiaSiberia	Russia	51.13333333	87	FullyPublic
LP6005442-DNA_E12	S_Tubalar-2	Tubalar	CentralAsiaSiberia	Russia	51.13333333	87	FullyPublic
LP6005443-DNA_A02	S_Tujia-1	Tujia	EastAsia	China	29.0	109.0	FullyPublic
LP6005441-DNA_F12	S_Tujia-2	Tujia	EastAsia	China	29.0	109.0	FullyPublic
LP6005677-DNA_C03	S_Turkish-1	Turkish	WestEurasia	Turkey	38.7	35.5	FullyPublic
LP6005677-DNA_A03	S_Turkish-2	Turkish	WestEurasia	Turkey	38.7	35.5	FullyPublic
LP6005441-DNA_H12	S_Tuscan-1	Tuscan	WestEurasia	Italy(Tuscany)	43.0	11.0	FullyPublic
LP6005441-DNA_G12	S_Tuscan-2	Tuscan	WestEurasia	Italy(Tuscany)	43.0	11.0	FullyPublic
LP6005442-DNA_H12	S_Ulchi-1	Ulchi	CentralAsiaSiberia	Russia	52.43	140.42	FullyPublic
LP6005442-DNA_G12	S_Ulchi-2	Ulchi	CentralAsiaSiberia	Russia	52.37	140.45	FullyPublic
LP6005442-DNA_B01	S_Uygur-1	Uygur	EastAsia	China	44.0	81.0	FullyPublic
LP6005443-DNA_B02	S_Uygur-2	Uygur	EastAsia	China	44.0	81.0	FullyPublic
LP6005442-DNA_D01	S_Xibo-1	Xibo	EastAsia	China	43.5	81.5	FullyPublic
LP6005443-DNA_C02	S_Xibo-2	Xibo	EastAsia	China	43.5	81.5	FullyPublic
LP6005519-DNA_C04	S_Yadava-1	Yadava	SouthAsia	India	17.7	83.3	FullyPublic
LP6005519-DNA_D04	S_Yadava-2	Yadava	SouthAsia	India	17.7	83.3	FullyPublic
LP6005442-DNA_F01	S_Yakut-1	Yakut	CentralAsiaSiberia	Russia	63.0	129.5	FullyPublic
